motor
ADV 160 ABS
ADV 160 CBS
ADV 160 ROADSYNC
CB 150 Verza CW
CB 150 Verza Sp
CB 150R STD
CB150R SE
CB150X SE
CB150X STD
CBR150R ABS (BK Matte)
CBR150R ABS (HM)
CBR150R ABS (MP)
CBR150R ABS (OP)
CBR150R Std (BK Matte)
CBR150R Std (HM)
CRF 150
CUV E
CUV E CHARGER
CUV E ROADSYNC DUO
CUV E ROADSYNC DUO CHARGER
EM1 e (Gratis Charger)
EM1 e + CHARGER
EM1 e PLUS + Charge
Em1 e  Plus (Gratis Charger)
GENIO CBS BK
GENIO CBS PH & PD
GENIO ISS
ICON E
NEW BEAT CBS
NEW BEAT DX
NEW BEAT DX SMART KEY
NEW BEAT STREET
NEW PCX ABS
NEW PCX CBS
NEW PCX ROADSYNC
NEW SCOOPY FASHION
NEW SCOOPY STYLISH-PRESTIGE
NEW V125 CBS
NEW V125 ISS
NEW V125 STREET
NEW V125 STREET+VISOR
OLD PCX ABS 160
OLD PCX CBS 160
OLD SCOOPY ENERGETIC
OLD SCOOPY SPORTY & FASHION
OLD SCOOPY STYLISH & PRESTIGE
OLD Vario 125 CBS
OLD Vario 125 ISS
PCX HYBRID 160
REVO FIT FI
REVO X
SCOOPY FASHION
SCOOPY STYLISH
SONIC RACING
SONIC STD
STYLO160 ABS
STYLO160 ABS SPECIAL COLOR
STYLO160 CBS
SUPERCUB
SUPRA GTR EXCLUSIVE
SUPRA GTR SPORTY
SUPRA X FI CW
SUPRA X FI SP
VARIO 160 ABS
VARIO 160 CBS
VARIO 160 CBS SP
