motor,harga_otr,dp,pct_dp,tenor,cicilan
REVO X,21175000.0,4000000.0,0.1889,30,981000.0
REVO X,21175000.0,4000000.0,0.1889,36,886000.0
REVO X,21175000.0,4100000.0,0.1936,12,1967000.0
REVO X,21175000.0,4100000.0,0.1936,18,1414000.0
REVO X,21175000.0,4100000.0,0.1936,24,1142000.0
REVO X,21175000.0,4100000.0,0.1936,30,976000.0
REVO X,21175000.0,4100000.0,0.1936,36,881000.0
REVO X,21175000.0,4200000.0,0.1983,12,1957000.0
REVO X,21175000.0,4200000.0,0.1983,18,1407000.0
REVO X,21175000.0,4200000.0,0.1983,24,1136000.0
REVO X,21175000.0,4200000.0,0.1983,30,971000.0
REVO X,21175000.0,4200000.0,0.1983,36,876000.0
REVO X,21175000.0,4300000.0,0.2031,12,1947000.0
REVO X,21175000.0,4300000.0,0.2031,18,1400000.0
REVO X,21175000.0,4300000.0,0.2031,24,1130000.0
REVO X,21175000.0,4300000.0,0.2031,30,966000.0
REVO X,21175000.0,4300000.0,0.2031,36,871000.0
REVO X,21175000.0,4400000.0,0.2078,12,1937000.0
REVO X,21175000.0,4400000.0,0.2078,18,1393000.0
REVO X,21175000.0,4400000.0,0.2078,24,1124000.0
REVO X,21175000.0,4400000.0,0.2078,30,961000.0
REVO X,21175000.0,4400000.0,0.2078,36,866000.0
REVO X,21175000.0,4500000.0,0.2125,12,1927000.0
REVO X,21175000.0,4500000.0,0.2125,18,1386000.0
REVO X,21175000.0,4500000.0,0.2125,24,1118000.0
REVO X,21175000.0,4500000.0,0.2125,30,956000.0
REVO X,21175000.0,4500000.0,0.2125,36,861000.0
REVO X,21175000.0,4600000.0,0.2172,12,1917000.0
REVO X,21175000.0,4600000.0,0.2172,18,1379000.0
REVO X,21175000.0,4600000.0,0.2172,24,1112000.0
REVO X,21175000.0,4600000.0,0.2172,30,951000.0
REVO X,21175000.0,4600000.0,0.2172,36,856000.0
REVO X,21175000.0,4700000.0,0.222,12,1907000.0
REVO X,21175000.0,4700000.0,0.222,18,1372000.0
REVO X,21175000.0,4700000.0,0.222,24,1106000.0
REVO X,21175000.0,4700000.0,0.222,30,946000.0
REVO X,21175000.0,4700000.0,0.222,36,851000.0
REVO X,21175000.0,4800000.0,0.2267,12,1897000.0
REVO X,21175000.0,4800000.0,0.2267,18,1365000.0
REVO X,21175000.0,4800000.0,0.2267,24,1100000.0
REVO X,21175000.0,4800000.0,0.2267,30,941000.0
REVO X,21175000.0,4800000.0,0.2267,36,846000.0
REVO X,21175000.0,4900000.0,0.2314,12,1887000.0
REVO X,21175000.0,4900000.0,0.2314,18,1358000.0
REVO X,21175000.0,4900000.0,0.2314,24,1094000.0
REVO X,21175000.0,4900000.0,0.2314,30,936000.0
REVO X,21175000.0,4900000.0,0.2314,36,841000.0
REVO X,21175000.0,5000000.0,0.2361,12,1877000.0
